2025-02-24 21:19:15,711 - INFO - [LOG] Gesture: X | FPS: 31.25 | Ratio: 0.58 | Similarity: 97.14%
2025-02-24 21:19:15,746 - INFO - [LOG] Gesture: X | FPS: 28.85 | Ratio: 0.58 | Similarity: 97.02%
2025-02-24 21:19:15,811 - INFO - [LOG] Gesture: X | FPS: 15.55 | Ratio: 0.59 | Similarity: 97.75%
2025-02-24 21:19:15,842 - INFO - [LOG] Gesture: X | FPS: 31.34 | Ratio: 0.59 | Similarity: 98.20%
2025-02-24 21:19:15,877 - INFO - [LOG] Gesture: X | FPS: 28.27 | Ratio: 0.59 | Similarity: 97.88%
2025-02-24 21:19:15,912 - INFO - [LOG] Gesture: X | FPS: 28.96 | Ratio: 0.59 | Similarity: 97.91%
2025-02-24 21:19:15,944 - INFO - [LOG] Gesture: X | FPS: 30.64 | Ratio: 0.59 | Similarity: 97.55%
2025-02-24 21:19:15,979 - INFO - [LOG] Gesture: X | FPS: 29.46 | Ratio: 0.59 | Similarity: 97.65%
2025-02-24 21:19:16,045 - INFO - [LOG] Gesture: X | FPS: 15.40 | Ratio: 0.59 | Similarity: 98.05%
2025-02-24 21:19:16,076 - INFO - [LOG] Gesture: X | FPS: 30.91 | Ratio: 0.59 | Similarity: 98.05%
2025-02-24 21:19:16,110 - INFO - [LOG] Gesture: X | FPS: 29.39 | Ratio: 0.59 | Similarity: 97.75%
2025-02-24 21:19:16,145 - INFO - [LOG] Gesture: X | FPS: 28.36 | Ratio: 0.59 | Similarity: 97.90%
2025-02-24 21:19:16,177 - INFO - [LOG] Gesture: X | FPS: 30.73 | Ratio: 0.59 | Similarity: 98.33%
2025-02-24 21:19:16,213 - INFO - [LOG] Gesture: X | FPS: 28.69 | Ratio: 0.59 | Similarity: 98.39%
2025-02-24 21:19:16,278 - INFO - [LOG] Gesture: X | FPS: 15.57 | Ratio: 0.59 | Similarity: 98.79%
2025-02-24 21:19:16,309 - INFO - [LOG] Gesture: X | FPS: 30.20 | Ratio: 0.59 | Similarity: 98.26%
2025-02-24 21:19:16,343 - INFO - [LOG] Gesture: X | FPS: 29.87 | Ratio: 0.59 | Similarity: 98.55%
2025-02-24 21:19:16,378 - INFO - [LOG] Gesture: X | FPS: 28.68 | Ratio: 0.59 | Similarity: 98.30%
2025-02-24 21:19:16,411 - INFO - [LOG] Gesture: X | FPS: 30.53 | Ratio: 0.59 | Similarity: 97.60%
2025-02-24 21:19:16,446 - INFO - [LOG] Gesture: X | FPS: 28.95 | Ratio: 0.59 | Similarity: 98.04%
2025-02-24 21:19:16,510 - INFO - [LOG] Gesture: X | FPS: 15.63 | Ratio: 0.59 | Similarity: 97.85%
2025-02-24 21:19:16,543 - INFO - [LOG] Gesture: X | FPS: 29.82 | Ratio: 0.58 | Similarity: 95.94%
2025-02-24 21:19:16,576 - INFO - [LOG] Gesture: X | FPS: 30.33 | Ratio: 0.57 | Similarity: 95.02%
2025-02-24 21:19:16,612 - INFO - [LOG] Gesture: X | FPS: 27.87 | Ratio: 0.59 | Similarity: 97.92%
2025-02-24 21:19:16,644 - INFO - [LOG] Gesture: Not X | FPS: 30.97 | Ratio: 0.61 | Similarity: 98.53%
2025-02-24 21:19:16,679 - INFO - [LOG] Gesture: Not X | FPS: 28.96 | Ratio: 0.62 | Similarity: 95.99%
2025-02-24 21:19:16,745 - INFO - [LOG] Gesture: Not X | FPS: 15.23 | Ratio: 0.61 | Similarity: 98.87%
2025-02-24 21:19:16,777 - INFO - [LOG] Gesture: X | FPS: 30.72 | Ratio: 0.59 | Similarity: 99.01%
2025-02-24 21:19:16,810 - INFO - [LOG] Gesture: X | FPS: 30.10 | Ratio: 0.59 | Similarity: 98.04%
2025-02-24 21:19:16,845 - INFO - [LOG] Gesture: X | FPS: 28.54 | Ratio: 0.59 | Similarity: 97.92%
2025-02-24 21:19:16,877 - INFO - [LOG] Gesture: X | FPS: 30.79 | Ratio: 0.58 | Similarity: 97.32%
2025-02-24 21:19:16,912 - INFO - [LOG] Gesture: X | FPS: 29.20 | Ratio: 0.59 | Similarity: 97.91%
2025-02-24 21:19:16,978 - INFO - [LOG] Gesture: X | FPS: 15.42 | Ratio: 0.58 | Similarity: 97.46%
2025-02-24 21:19:17,009 - INFO - [LOG] Gesture: X | FPS: 31.39 | Ratio: 0.58 | Similarity: 96.62%
2025-02-24 21:19:17,042 - INFO - [LOG] Gesture: X | FPS: 29.70 | Ratio: 0.58 | Similarity: 96.98%
